ID,zipcodes,zc_state,prop_pop_ge18,prop_hh_wchildren_le18,latitude,longitude,elevation,region,business_density_persqmi,avg_num_employees_perbiz,avg_annual_payroll_perbiz,growth_rank,growing_counties_b,growth_increase_percentage,prop_maildeliv_biz,pop_density,prop_water,prop_mail2pob,city_delivery_indicator,carrier_route_rate_sortation,shotguns2chardonnay,tatoo2tooth,spiritanimal,newzip1,newzip2,newzip3,ref_dt,date1,date2,date3,yb_4_05
20,00698,PR,0.76,0.313,18.090875,-66.867756,0,,0,0,0,0,0,0,0.042,600.161,0.041,0.101,Y,D,40.81767414,2.944229783,Tapir,00601,12433,44836,4/1/15,1/21/15,10/30/14,9/12/14,0
25,00730,PR,0.751,0.288,18.032129,-66.6236,0,,0,0,0,0,0,0,0.064,5493.698,0.007,0,Y,D,33.95921507,0.028891219,Sun Bear,00703,56091,55946,4/1/15,1/29/15,10/16/14,7/25/14,0
27,00741,PR,0.753,0.299,18.16462,-65.766894,0,,0,0,0,0,0,0,0.007,2103.682,0.313,0.376,Y,C,38.68141566,0.006941699,Armadillo,00703,13328,12563,4/1/15,2/10/15,1/30/15,11/3/14,0
28,00745,PR,0.751,0.331,18.34505,-65.832284,0,,0,0,0,0,0,0,0.024,1066.824,0.044,0.128,Y,C,29.26105926,3.35293808,Rock Chuck,00703,16046,36081,4/1/15,2/26/15,11/17/14,8/7/14,0
30,00751,PR,0.738,0.318,18.002225,-66.260518,0,,0,0,0,0,0,0,0.035,492.368,0.195,0.13,Y,C,63.7229459,0.052702632,Rock Chuck,00703,63633,79016,4/1/15,12/22/14,11/8/14,7/17/14,0
31,00754,PR,0.757,0.327,18.142369,-65.974986,0,,0,0,0,0,0,0,0.036,800.094,0.002,0.111,Y,D,42.09306105,1.173165312,Wolverine,00703,61285,61241,4/1/15,2/21/15,1/9/15,12/30/14,0
32,00757,PR,0.709,0.376,17.985792,-66.391439,0,,0,0,0,0,0,0,0.03,779.983,0.068,0.118,Y,C,34.60606275,2.905408844,Sun Bear,00703,70006,72901,4/1/15,3/30/15,3/20/15,2/3/15,0
33,00757,PR,0.709,0.376,17.985792,-66.391439,0,,0,0,0,0,0,0,0.03,779.983,0.068,0.118,Y,C,48.23347319,1.292408405,Armadillo,00703,34996,73660,4/1/15,3/1/15,12/8/14,9/12/14,0
34,00765,PR,0.763,0.242,18.126285,-65.440098,0,,0,0,0,0,0,0,0.02,477.861,0.034,0.235,Y,C,36.76209495,0.448243334,Wolverine,00703,25820,60481,4/1/15,12/31/14,10/21/14,6/21/14,0
35,00766,PR,0.725,0.376,18.13,-66.474329,0,,0,0,0,0,0,0,0.023,661.555,0.035,0.127,Y,C,50.42816286,0.211197603,Sun Bear,00703,19383,41729,4/1/15,1/22/15,12/11/14,11/22/14,0
40,00906,PR,1,0,18.46462,-66.10078,0,,0,0,0,0,0,0,0,1333.333,0,0,N,C,37.8844734,0.113626756,Wolverine,00901,29726,64831,4/1/15,3/21/15,3/13/15,2/24/15,0
43,00918,PR,0.795,0.212,18.423656,-66.067402,0,,0,0,0,0,0,0,0.239,8473.017,0.018,0,Y,D,20.02346532,0.194192399,Sun Bear,00901,31788,15377,4/1/15,1/22/15,1/3/15,11/20/14,0
45,00921,PR,0.764,0.29,18.390532,-66.08842,0,,0,0,0,0,0,0,0.082,14111.734,0,0,Y,D,34.20584838,6.476368954,Grey Goose,00901,50239,52404,4/1/15,11/30/14,8/15/14,5/5/14,0
52,00966,PR,0.792,0.271,18.39779,-66.116071,0,,0,0,0,0,0,0,0.045,5140.567,0.001,0,Y,D,43.99568155,0.009654664,Tapir,00901,50654,68823,4/1/15,12/25/14,11/12/14,10/25/14,0
54,00979,PR,0.848,0.172,18.438381,-66.011814,0,,0,0,0,0,0,0,0.056,10860.969,0.111,0,Y,D,46.79079162,0.98825166,Grey Goose,00901,75771,76454,4/1/15,2/3/15,12/20/14,10/4/14,0
62,01040,MA,0.736,0.309,42.222692,-72.640474,70,Northeast,42.15,18.749,719.794,0,0,0,0.069,1873.972,0.068,0,Y,B,48.31640364,0.864159371,Axolotl,01001,14813,21797,4/1/15,2/4/15,1/14/15,9/15/14,0
70,01085,MA,0.782,0.287,42.162725,-72.771374,70,Northeast,14.296,15.642,640.725,0,0,0,0.058,685.901,0.019,0,Y,B,37.27058559,0.590814208,Mole Rat,01001,24065,14752,4/1/15,1/22/15,10/3/14,7/31/14,0
73,01119,MA,0.777,0.305,42.122508,-72.511518,70,Northeast,41.408,24.605,633.776,0,0,0,0.026,3986.479,0.026,0,Y,D,28.03427642,2.108077473,Axolotl,01103,12458,17111,4/1/15,1/25/15,10/25/14,8/23/14,0
80,01236,MA,0.807,0.217,42.263088,-73.383452,1039,Northeast,7.497,11.278,366.167,0,0,0,0.002,314.244,0.013,0.57,N,C,43.38807402,11.55030243,Sun Bear,01201,65650,57787,4/1/15,3/13/15,1/22/15,10/21/14,0
84,01245,MA,0.832,0.195,42.179822,-73.196867,1039,Northeast,0.858,0,0,0,0,0,0,35.204,0.027,0.802,N,C,23.70561537,0.156222494,Narwhal,01201,78250,52746,4/1/15,2/24/15,10/27/14,9/15/14,0
87,01257,MA,0.826,0.205,42.10393,-73.367684,1039,Northeast,3.146,8.149,366.947,0,0,0,0.015,58.535,0.023,0.457,N,C,36.10698143,2.410432019,Narwhal,01201,50519,55046,4/1/15,1/12/15,9/23/14,9/3/14,0
89,01266,MA,0.837,0.194,42.288658,-73.377778,1039,Northeast,1.996,3.288,108.904,0,0,0,0,56.157,0.011,0.465,N,C,18.280874,0.220819854,Mole Rat,01201,49716,53212,4/1/15,2/8/15,10/12/14,7/16/14,0
90,01331,MA,0.771,0.282,42.560683,-72.183898,475,Northeast,3.889,15.333,528.338,0,0,0,0.047,249.201,0.025,0.042,Y,D,37.12338259,0.493890567,Grey Goose,01301,54511,61115,4/1/15,1/15/15,10/30/14,10/1/14,0
98,01373,MA,0.799,0.258,42.464914,-72.61716,250,Northeast,6.291,18.599,829.316,0,0,0,0.081,190.389,0.023,0.078,Y,D,35.14480802,0.203748457,Narwhal,01301,56072,15043,4/1/15,3/26/15,2/6/15,10/11/14,0
104,01432,MA,0.773,0.283,42.562912,-71.568824,40,Northeast,27.689,18.466,899.128,0,0,0,0.078,838.836,0.053,0.031,Y,D,38.28255084,22.55738146,Sun Bear,01420,27609,52168,4/1/15,3/11/15,1/17/15,9/28/14,0
128,01776,MA,0.68,0.497,42.388828,-71.42304,40,Northeast,20.917,12.947,768.957,0,0,0,0.067,728.537,0.019,0.028,Y,B,46.32055864,5.13683326,Narwhal,01701,02672,05672,4/1/15,1/12/15,11/2/14,7/25/14,0
142,01913,MA,0.776,0.297,42.853164,-70.951838,9,Northeast,32.863,10.253,441.124,0,0,0,0.067,1327.815,0.107,0.035,Y,B,39.01093461,22.73976428,Grey Goose,01901,22742,15341,4/1/15,12/23/14,10/28/14,7/2/14,0
143,01929,MA,0.765,0.293,42.632303,-70.77843,9,Northeast,10.02,7.079,322.829,0,0,0,0.043,250.787,0.124,0.144,N,D,46.60457255,0.94138766,Sun Bear,01901,78210,73112,4/1/15,3/26/15,2/21/15,11/3/14,0
168,02446,MA,0.855,0.185,42.343335,-71.122762,120,Northeast,561.772,9.806,350.683,0,0,0,0.059,22774.67,0.004,0.032,Y,B,47.99531258,0.062548238,Mole Rat,02420,72460,45065,4/1/15,1/22/15,12/13/14,10/26/14,0
170,02453,MA,0.855,0.195,42.369984,-71.232748,40,Northeast,225.207,21.201,1302.707,0,0,0,0.076,8278.937,0.075,0,Y,B,26.66307652,28.83595818,Platypus,02420,79504,80476,4/1/15,2/19/15,11/19/14,9/29/14,0
171,02453,MA,0.855,0.195,42.369984,-71.232748,40,Northeast,225.207,21.201,1302.707,0,0,0,0.076,8278.937,0.075,0,Y,B,36.14041505,0.807553144,Sun Bear,02420,54822,39743,4/1/15,3/19/15,2/1/15,10/14/14,0
179,02536,MA,0.804,0.231,41.599718,-70.562314,37,Northeast,12.68,6.937,266.288,0,0,0,0.022,707.427,0.112,0.092,Y,C,21.27900271,0.366353077,Narwhal,02532,04294,19539,4/1/15,2/24/15,10/25/14,8/13/14,0
180,02539,MA,0.803,0.247,41.384969,-70.530625,17,Northeast,11.863,4.887,265.242,0,0,0,0.008,151.714,0.433,0.574,N,C,49.96091257,1.216205364,Axolotl,02532,73119,64072,4/1/15,12/7/14,8/12/14,7/9/14,0
181,02540,MA,0.872,0.139,41.578251,-70.62514,37,Northeast,47.139,10.895,468.044,0,0,0,0.096,767.385,0.141,0,Y,C,42.92762384,10.54537685,Rock Chuck,02532,28672,61875,4/1/15,2/17/15,1/28/15,10/13/14,0
187,02575,MA,0.8,0.264,41.396092,-70.640244,17,Northeast,3.64,4.473,229.681,0,0,0,0,108.996,0.146,0.877,N,C,39.31017062,13.0399977,Rock Chuck,02532,24435,53943,4/1/15,3/19/15,2/14/15,1/5/15,0
188,02575,MA,0.8,0.264,41.396092,-70.640244,17,Northeast,3.64,4.473,229.681,0,0,0,0,108.996,0.146,0.877,N,C,40.4577646,0.023229124,Rock Chuck,02532,41142,49655,4/1/15,2/21/15,1/25/15,11/26/14,0
194,02652,MA,0.877,0.142,42.043244,-70.103584,37,Northeast,7.377,2.508,139.203,0,0,0,0,146.912,0.238,0.928,N,C,8.138739709,1.24397755,Rock Chuck,02601,05847,47640,4/1/15,2/18/15,11/23/14,9/9/14,0
198,02672,MA,0.856,0.112,41.635254,-70.319201,37,Northeast,10.121,1.4,46,0,0,0,0,364.372,0.085,0.864,N,C,41.144254,1.407427032,Tapir,02601,43044,52206,4/1/15,3/22/15,1/3/15,9/7/14,0
202,02718,MA,0.749,0.358,41.867286,-71.015712,30,Northeast,10.246,14.991,671.17,0,0,0,0.031,643.306,0.031,0.072,Y,B,47.50436838,0.749054607,Sun Bear,02702,95003,67512,4/1/15,2/27/15,11/23/14,7/25/14,0
205,02746,MA,0.729,0.328,41.66298,-70.944832,30,Northeast,148.393,13.14,337.771,0,0,0,0.072,7250.473,0.054,0.015,Y,D,34.7881544,0.663424636,Rock Chuck,02702,53001,06010,4/1/15,2/15/15,10/16/14,10/2/14,0
214,02816,RI,0.779,0.297,41.693331,-71.636343,61,Northeast,14.586,10.172,324.866,0,0,0,0.04,861.699,0.073,0.023,Y,B,45.25174234,1.026812728,Sun Bear,02802,74114,49722,4/1/15,12/16/14,10/15/14,6/16/14,0
216,02826,RI,0.78,0.32,41.9762,-71.6332,11,Northeast,5.604,10.786,408.429,0,0,0,0,316.653,0.013,0.851,N,C,33.05210107,4.645985507,Armadillo,02802,52154,68923,4/1/15,2/17/15,1/6/15,12/17/14,0
218,02827,RI,0.767,0.322,41.691646,-71.727178,61,Northeast,1.091,3.87,114,0,0,0,0.017,103.041,0.019,0,N,B,42.45441069,0.536456077,Tapir,02802,76704,25639,4/1/15,12/24/14,8/31/14,5/15/14,0
220,02836,RI,0.757,0.386,41.44828,-71.621769,90,Northeast,9.772,0,0,0,0,0,0.015,442.997,0.003,0,N,C,29.56836029,0.040701862,Platypus,02802,39866,70775,4/1/15,1/4/15,12/2/14,11/30/14,0
222,02841,RI,0.999,0.333,41.528484,-71.316242,96,Northeast,57.816,9.852,457.519,0,0,0,0.006,2980.728,0.654,0.036,N,B,42.5437335,10.17964017,Rock Chuck,02802,78567,66431,4/1/15,3/19/15,12/8/14,8/15/14,0
224,02859,RI,0.775,0.319,41.965405,-71.721682,11,Northeast,3.49,15,535.242,0,0,0,0.034,237.546,0.045,0.04,Y,C,18.28700397,0.490724724,Narwhal,02802,59756,59453,4/1/15,2/5/15,10/10/14,8/18/14,0
228,02905,RI,0.747,0.341,41.786946,-71.399192,11,Northeast,141.409,20.74,1098.362,0,0,0,0.055,6729.723,0.33,0.041,Y,D,31.61177697,0.838473311,Wolverine,02903,38774,60618,4/1/15,2/22/15,11/25/14,11/20/14,0
234,02920,RI,0.819,0.237,41.768472,-71.46846,11,Northeast,125.898,14.659,657.839,0,0,0,0.075,4089.196,0.024,0.023,Y,B,29.98054659,0.745296426,Rock Chuck,02903,50579,49042,4/1/15,1/16/15,9/27/14,6/17/14,0
240,03063,NH,0.795,0.274,42.771339,-71.52696,169,Northeast,74.047,18.03,842.523,0,0,0,0.088,2001.234,0.017,0,Y,D,41.7792255,0.403171956,Rock Chuck,03031,65250,46961,4/1/15,2/2/15,11/5/14,8/18/14,0
251,03231,NH,0.812,0.238,43.4783,-71.7646,288,Northeast,1.365,0,0,0,0,0,0,91.944,0.084,0.893,N,C,31.79743174,3.469513751,Mole Rat,03215,13743,25606,4/1/15,12/3/14,8/9/14,6/15/14,0
257,03249,NH,0.792,0.254,43.56093,-71.358206,507,Northeast,5.969,8.556,304.621,0,0,0,0.057,183.004,0.276,0,Y,D,40.30131912,0.209527795,Armadillo,03215,89045,57457,4/1/15,2/11/15,12/8/14,12/2/14,0
275,03570,NH,0.816,0.233,44.454995,-71.26073,887,Northeast,1.857,12.592,413.265,0,0,0,0.051,95.216,0.013,0.043,Y,C,45.03927944,0.096251652,Mole Rat,03561,21087,22663,4/1/15,12/29/14,9/13/14,5/15/14,0
277,03570,NH,0.816,0.233,44.454995,-71.26073,887,Northeast,1.857,12.592,413.265,0,0,0,0.051,95.216,0.013,0.043,Y,C,45.26362183,3.555399967,Sun Bear,03561,19979,62548,4/1/15,1/31/15,10/12/14,9/21/14,0
280,03590,NH,0.812,0.21,44.724536,-71.478154,887,Northeast,0.161,3.412,144.294,0,0,0,0.014,9.991,0.007,0.199,N,C,43.99156223,1.411342234,Grey Goose,03561,11236,03458,4/1/15,3/4/15,11/30/14,11/4/14,0
288,03773,NH,0.783,0.261,43.374889,-72.193528,797,Northeast,2.253,12.875,560.721,0,0,0,0.052,84.935,0.013,0.125,Y,C,49.30763016,2.089922053,Mole Rat,03740,20630,83211,4/1/15,2/11/15,10/30/14,7/7/14,0
293,03818,NH,0.79,0.251,43.966632,-71.236342,581,Northeast,2.261,8.484,304.854,0,0,0,0.041,44.826,0.011,0.53,N,D,36.87865063,0.886603514,Sun Bear,03801,25920,01570,4/1/15,3/11/15,2/4/15,10/18/14,0
294,03824,NH,0.914,0.224,43.12217,-70.922457,0,Northeast,9.161,10.79,449.42,0,0,0,0.044,654.125,0.097,0.042,Y,D,43.2049557,0.178878903,Rock Chuck,03801,11794,46761,4/1/15,3/28/15,3/3/15,11/15/14,0
297,03833,NH,0.763,0.309,42.961445,-70.987972,58,Northeast,13.886,14.767,705.18,0,0,0,0.076,431.724,0.012,0.028,Y,D,27.95783465,94.40457466,Tapir,03801,08562,12404,4/1/15,3/27/15,12/24/14,11/20/14,0
300,03847,NH,0.827,0.199,44.0756,-71.1182,581,Northeast,8.216,0,163.143,0,0,0,0,345.07,0.001,0.957,N,C,30.09748111,0.857894359,Rock Chuck,03801,87567,64011,4/1/15,1/4/15,10/28/14,9/29/14,0
308,03894,NH,0.821,0.211,43.59269,-71.160274,581,Northeast,5.957,7.216,297.443,0,0,0,0.019,129.255,0.178,0.301,N,C,23.33213082,0.678976961,Tapir,03801,04487,24437,4/1/15,3/27/15,12/25/14,9/28/14,0
311,04017,ME,0.85,0.17,43.733748,-70.118125,26,Northeast,7.03,2.28,70.12,0,0,0,0.026,95.894,0.819,0.072,N,C,43.50588351,0.154622402,Grey Goose,04001,43554,67131,4/1/15,2/14/15,11/3/14,8/27/14,0
312,04017,ME,0.85,0.17,43.733748,-70.118125,26,Northeast,7.03,2.28,70.12,0,0,0,0.026,95.894,0.819,0.072,N,C,48.73643199,1.954934285,Sun Bear,04001,63134,68838,4/1/15,3/5/15,2/25/15,12/25/14,0
315,04037,ME,0.771,0.27,44.081558,-70.912897,416,Northeast,1.285,10.538,430.462,0,0,0,0.05,46.483,0.085,0.151,Y,D,54.89493092,9.526651224,Armadillo,04001,52147,58281,4/1/15,3/12/15,11/17/14,9/29/14,0
321,04062,ME,0.775,0.316,43.791745,-70.405627,26,Northeast,10.644,8.526,235.54,0,0,0,0.054,362.336,0.056,0.069,Y,D,36.93132337,0.371465027,Platypus,04001,80003,67575,4/1/15,1/8/15,10/20/14,9/10/14,0
334,04222,ME,0.777,0.308,43.96144,-70.130772,183,Northeast,1.437,2.891,68.455,0,0,0,0.01,100.522,0.02,0,Y,D,51.55622229,0.028552439,Rock Chuck,04210,36738,21738,4/1/15,3/14/15,11/19/14,10/10/14,0
335,04227,ME,0.797,0.313,44.5744,-70.2996,425,Northeast,1.767,0,0,0,0,0,0,139.576,0,0.969,N,C,45.30610801,0.272526621,Mole Rat,04210,75959,47550,4/1/15,1/30/15,10/6/14,7/5/14,0
336,04227,ME,0.797,0.313,44.5744,-70.2996,425,Northeast,1.767,0,0,0,0,0,0,139.576,0,0.969,N,C,42.56841712,7.996438075,Mole Rat,04210,22180,23503,4/1/15,12/10/14,11/24/14,8/8/14,0
337,04228,ME,1,0,44.414399,-70.138979,183,Northeast,29.412,0,0,0,0,0,0,88.235,0.2,0.839,N,C,50.69572248,1.537621307,Sun Bear,04210,68735,84111,4/1/15,3/20/15,12/2/14,11/17/14,0
342,04257,ME,0.806,0.23,44.572562,-70.524688,416,Northeast,2.742,9.063,219.609,0,0,0,0.058,114.862,0.01,0.043,Y,D,26.9457939,0.06284841,Armadillo,04210,57107,27016,4/1/15,2/26/15,2/4/15,11/13/14,0
344,04286,ME,0.723,0.278,44.4015,-70.8569,416,Northeast,53.571,0,0,0,0,0,0,839.286,0,0.852,N,C,23.30293403,6.245068694,Axolotl,04210,45346,54440,4/1/15,12/15/14,12/13/14,9/14/14,0
356,04415,ME,0.786,0.25,45.3503,-69.0529,371,Northeast,1.264,0,0,0,0,0,0,174.463,0.027,0.88,N,C,38.89515458,0.181457089,Tapir,04401,65247,31008,4/1/15,3/16/15,2/24/15,11/16/14,0
360,04444,ME,0.76,0.326,44.730574,-68.931263,158,Northeast,2.926,12.96,391.48,0,0,0,0.03,127.801,0.013,0.068,Y,D,27.95247179,0.030641631,Mole Rat,04401,72542,12198,4/1/15,3/28/15,12/15/14,11/20/14,0
363,04451,ME,0.857,0.165,45.52957,-68.18215,158,Northeast,0.04,0,0,0,0,0,0.022,3.457,0.015,0.036,N,C,64.38574045,3.540566342,Armadillo,04401,32054,20130,4/1/15,12/26/14,9/15/14,6/10/14,0
364,04451,ME,0.857,0.165,45.52957,-68.18215,158,Northeast,0.04,0,0,0,0,0,0.022,3.457,0.015,0.036,N,C,39.99680119,4.153883402,Rock Chuck,04401,28785,60171,4/1/15,3/5/15,12/7/14,10/6/14,0
366,04462,ME,0.85,0.167,45.668414,-68.769541,158,Northeast,0.108,9.683,317.389,0,0,0,0.045,4.13,0.081,0.107,Y,D,37.07235456,4.915312479,Mole Rat,04401,58838,68410,4/1/15,3/13/15,3/12/15,2/14/15,0
367,04471,ME,0.831,0.177,45.88753,-67.833508,357,Northeast,0.094,0,115.444,0,0,0,0.018,6.343,0.022,0,N,C,26.35868612,0.30336424,Tapir,04401,40078,46149,4/1/15,3/22/15,12/26/14,10/6/14,0
368,04478,ME,0.873,0.119,45.611394,-69.91829,175,Northeast,0.028,0,98.455,0,0,0,0.006,0.797,0.067,0.759,N,C,44.96057131,0.196227081,Wolverine,04401,55446,95993,4/1/15,3/15/15,12/7/14,11/1/14,0
369,04485,ME,0.871,0.103,45.3646,-69.6212,371,Northeast,0.157,0.571,27,0,0,0,0,5.229,0.013,0.963,N,C,37.04140968,12.17494418,Platypus,04401,64163,24149,4/1/15,12/12/14,11/13/14,10/7/14,0
388,04635,ME,0.639,0.476,44.113262,-68.353397,112,Northeast,0.225,0,0,0,0,0,0,13.739,0.796,0,N,C,30.74824274,5.789029279,Wolverine,04605,55320,50515,4/1/15,3/11/15,1/14/15,11/22/14,0
391,04649,ME,0.818,0.217,44.561684,-67.565064,20,Northeast,1.368,5.821,139.359,0,0,0,0.038,48.047,0.617,0.469,N,C,27.78814452,0.45880237,Sun Bear,04605,15482,53050,4/1/15,1/14/15,12/26/14,9/9/14,0
400,04776,ME,0.813,0.211,45.809432,-68.304412,357,Northeast,0.339,4.034,65.241,0,0,0,0.018,10.815,0.012,0.319,N,C,49.62049501,0.210258428,Armadillo,04730,40062,17309,4/1/15,2/14/15,1/27/15,9/27/14,0
404,04783,ME,0.873,0.133,47.062978,-68.253102,357,Northeast,0.071,0,0,0,0,0,0.007,7.575,0.043,0.146,N,C,26.94002239,1.999895404,Rock Chuck,04730,97306,74902,4/1/15,2/27/15,11/4/14,7/26/14,0
405,04785,ME,0.841,0.183,47.151453,-67.926005,357,Northeast,0.539,0,0,0,0,0,0.042,24.561,0.017,0.145,Y,D,24.33059181,1.794655603,Rock Chuck,04730,44403,49127,4/1/15,12/15/14,10/31/14,8/19/14,0
414,04915,ME,0.795,0.222,44.469266,-69.056691,103,Northeast,5.695,13.079,457.558,0,0,0,0.089,120.557,0.079,0.053,Y,D,55.70765545,7.372968707,Tapir,04901,72756,37934,4/1/15,2/23/15,11/23/14,8/24/14,0
416,04926,ME,0.846,0.12,44.4788,-69.5176,47,Northeast,101.852,0,153,0,0,0,0,481.481,0,0.906,N,C,34.80318789,18.46162852,Rock Chuck,04901,62550,12594,4/1/15,3/29/15,1/28/15,1/13/15,0
421,04945,ME,0.808,0.223,45.740241,-70.245567,175,Northeast,0.068,8.349,246.921,0,0,0,0.028,1.345,0.033,0.594,N,D,29.36175683,0.301547204,Tapir,04901,30306,61363,4/1/15,1/9/15,9/29/14,6/16/14,0
424,04955,ME,0.78,0.269,44.644647,-70.00737,425,Northeast,0.494,4.591,92.318,0,0,0,0.027,30.564,0.014,0.169,N,C,30.45717964,1.031715562,Sun Bear,04901,61081,48835,4/1/15,3/13/15,11/20/14,7/21/14,0
428,04974,ME,0.812,0.213,44.496608,-68.931638,103,Northeast,2.519,7.097,218.75,0,0,0,0.014,91.332,0.327,0.278,N,D,25.96575073,2.327825247,Grey Goose,04901,21779,45813,4/1/15,12/27/14,11/11/14,8/9/14,0
432,04981,ME,0.811,0.225,44.525714,-68.868892,103,Northeast,0.688,2.615,97.346,0,0,0,0.009,61.263,0.246,0.211,N,D,50.10997582,0.621613512,Sun Bear,04901,11718,29691,4/1/15,3/10/15,1/18/15,10/31/14,0
439,05038,VT,0.806,0.216,43.99547,-72.46001,1350,Northeast,0.984,5.769,159.974,0,0,0,0.013,31.031,0.001,0.239,N,C,38.3435777,0.427944565,Grey Goose,05001,52766,38846,4/1/15,3/30/15,12/7/14,10/25/14,0
440,05040,VT,0.779,0.265,44.070278,-72.215918,1350,Northeast,1.317,5.643,122.071,0,0,0,0.011,44.313,0.007,0.304,N,C,42.12954035,1.165841287,Armadillo,05001,24517,44861,4/1/15,3/28/15,2/9/15,1/20/15,0
472,05441,VT,0.727,0.355,44.782857,-72.751601,429,Northeast,0.189,0,33.167,0,0,0,0,30.103,0.003,0.516,N,C,32.85812851,2.59008913,Tapir,05401,51548,66509,4/1/15,2/22/15,1/9/15,11/13/14,0
473,05443,VT,0.769,0.295,44.156921,-73.030774,366,Northeast,1.472,4.671,140.952,0,0,0,0.041,58.687,0.009,0.053,Y,C,22.54654136,70.01503721,Grey Goose,05401,84307,65486,4/1/15,3/12/15,1/26/15,1/11/15,0
474,05443,VT,0.769,0.295,44.156921,-73.030774,366,Northeast,1.472,4.671,140.952,0,0,0,0.041,58.687,0.009,0.053,Y,C,24.33097396,7.498547279,Mole Rat,05401,41562,48120,4/1/15,1/5/15,12/7/14,8/31/14,0
483,05485,VT,0.753,0.275,44.9056,-72.981,429,Northeast,27.174,0,0,0,0,0,0,505.435,0,0.628,N,C,56.54880101,2.279728172,Armadillo,05401,56209,81062,4/1/15,3/21/15,2/22/15,1/23/15,0
503,05764,VT,0.83,0.233,43.525218,-73.182204,648,Northeast,2.362,9.686,239.314,0,0,0,0.04,79.926,0.024,0.078,Y,C,47.90670932,0.197462214,Rock Chuck,05701,44118,80550,4/1/15,3/21/15,12/2/14,8/7/14,0
508,05825,VT,0.806,0.286,44.856872,-72.235489,723,Northeast,4.719,0,0,0,0,0,0,75.108,0.011,0.923,N,C,43.05690733,2.894202469,Axolotl,05819,20839,70805,4/1/15,3/13/15,1/21/15,12/6/14,0
515,05855,VT,0.791,0.259,44.934134,-72.193716,723,Northeast,5.223,11.962,428.314,0,0,0,0.084,129.138,0.148,0.121,Y,C,41.21715005,0.165631103,Grey Goose,05819,64857,48180,4/1/15,2/16/15,2/5/15,11/16/14,0
523,06020,CT,0,0,41.874296,-72.899338,38,Northeast,857.143,5.667,230.667,0,0,0,0,0,0,0.308,N,C,36.16389221,0.039154843,Grey Goose,06001,35213,44035,4/1/15,3/19/15,12/18/14,9/9/14,0
524,06021,CT,0.787,0.288,42.01505,-73.105694,956,Northeast,1.771,5.1,204.1,0,0,0,0,55.615,0.011,0.652,N,C,50.13863687,0.576200415,Axolotl,06001,63956,43215,4/1/15,1/12/15,12/18/14,9/30/14,0
